Priority,Issue key,Issue id,Custom field (Business Function),Status,Custom field (Actual delivery date),Summary,Custom field (Market),Created
3 Medium,MCH-4868,141002,SSP,Closed,05/09/2019 00:00,Navigator - change CWOS status ,Czech Republic,23/08/2019 08:22
3 Medium,MCH-4824,140567,IT,Closed,22/08/2019 00:00,Connection via Mobile Agent on external CC - switch off music,Czech Republic,21/08/2019 08:59
3 Medium,MCH-4600,136806,CSC,Closed,22/08/2019 00:00,CDR  - Routing inbound calls modification (working hours + prompt),Czech Republic,24/07/2019 09:13
3 Medium,MCH-4423,133638,Marketing,Closed,14/08/2019 00:00,Product change - START proposition,Czech Republic,28/06/2019 15:04
3 Medium,MCH-4288,131791,IT Security,Closed,13/08/2019 00:00,Cockpit security issue #1,Czech Republic,13/06/2019 15:40
3 Medium,MCH-4398,133384,Other,Closed,08/08/2019 00:00,PROBE  new sell exctract,Czech Republic,26/06/2019 17:57
2 High,MCH-843,92167,Marketing,Closed,02/08/2019 00:00,Create  new campaing as a  duplicity  of existing campaign: Retence  with access data limitation,Czech Republic,14/12/2017 15:39
3 Medium,MCH-3881,126266,IT,Closed,02/08/2019 00:00,Cockpit - loaded data disappear in offline mode,Czech Republic,22/05/2019 10:41
3 Medium,MCH-3458,119619,Marketing,Closed,02/08/2019 00:00,Change in filtering of MT letters,Czech Republic,14/03/2019 15:39
3 Medium,MCH-4538,135053,MI,On Hold,01/08/2019 00:00,Prescription and allocation of payments according to amortized statements,Czech Republic,10/07/2019 15:15
3 Medium,MCH-4413,133423,CSC,Closed,30/07/2019 00:00,New categories and subcategories of cases in Triton CRM,Czech Republic,27/06/2019 09:41
3 Medium,MCH-4554,135513,CSC,Closed,24/07/2019 00:00,IPFD - New campaign (Creditea) - Cisco UCCE,Czech Republic,15/07/2019 12:24
2 High,MCH-4265,97822,Loss Prevention,Closed,22/07/2019 00:00,Add Elixir database to internal systems used for agent recruitment,Czech Republic,10/04/2018 13:26
3 Medium,MCH-4560,135618,CSC,Closed,18/07/2019 00:00,Fixing of bug from INC0434428-update addresses,Czech Republic,16/07/2019 10:09
3 Medium,MCH-2776,111547,IT,Closed,11/07/2019 00:00,Date lake for CZE,Czech Republic,06/12/2018 15:51
3 Medium,MCH-3100,115999,CSC,Closed,11/07/2019 00:00,Triton – Stížnosti/Žádosti -  změna kategorií,Czech Republic,29/01/2019 09:50
2 High,MCH-4392,133328,Finance,Closed,11/07/2019 00:00,Money transfer overpayment -  fix regulatory issue,Czech Republic,26/06/2019 15:38
3 Medium,MCH-3518,120429,Marketing,Change Delivered,11/07/2019 00:00,insurance phase II,Czech Republic,24/03/2019 15:13
